"year","STATE","DISTRICT","FEC_ID","FIRST_NAME","LAST_NAME","INCUMBENT_IND","PARTY","candidate_votes","total_votes","runoff"
2004,"IN","05","H2IN06023","Dan","Burton",1,"R",228718,318363,FALSE
2004,"IN","06","H2IN06148","Mel","Fox",0,"D",85123,272049,FALSE
2004,"IN","06","H8IN02060","Mike","Pence",1,"R",182529,272049,FALSE
2004,"IN","07","H2IN07088","Andrew (Andy)","Horning",0,"R",97491,223175,FALSE
2004,"IN","07","H6IN10141","Julia M.","Carson",1,"D",121303,223175,FALSE
2004,"IN","08","H4IN08108","John N.","Hostettler",1,"R",145576,272778,FALSE
2004,"IN","08","H4IN08157","Jon P.","Jennings",0,"D",121522,272778,FALSE
2004,"IN","09","H2IN09084","Mike","Sodrel",0,"R",142197,287510,FALSE
2004,"IN","09","H8IN09032","Baron","Hill",1,"D",140772,287510,FALSE
2004,"KS","01","H6KS01096","Jerry","Moran",1,"R",239776,264293,FALSE
2004,"KS","02","H4KS02107","Nancy","Boyda",0,"D",121532,294436,FALSE
2004,"KS","02","H6KS02227","Jim","Ryun",1,"R",165325,294436,FALSE
2004,"KS","03","H4KS03105","Kris","Kobach",0,"R",145542,335739,FALSE
2004,"KS","03","H8KS03049","Dennis","Moore",1,"D",184050,335739,FALSE
2004,"KS","04","H4KS04087","Todd","Tiahrt",1,"R",173151,261915,FALSE
2004,"KS","04","H8KS04039","Michael","Kinard",0,"D",81388,261915,FALSE
2004,"KY","01","H4KY01040","Edward","Whitfield",1,"R",175972,261387,FALSE
2004,"KY","01","H4KY01057","Billy R.","Cartwright",0,"D",85229,261387,FALSE
2004,"KY","02","H4KY02030","Ron","Lewis",1,"R",185394,272979,FALSE
2004,"KY","02","H4KY02063","Adam","Smith",0,"D",87585,272979,FALSE
2004,"KY","03","H4KY03186","Tony","Miller",0,"D",124040,328154,FALSE
2004,"KY","03","H6KY03090","Anne M.","Northup",1,"R",197736,328154,FALSE
2004,"KY","04","H2KY04071","Geoff","Davis",0,"R",160982,295927,FALSE
2004,"KY","04","H4KY04085","Nick","Clooney",0,"D",129876,295927,FALSE
2004,"KY","05","H0KY05015","Harold ""Hal""","Rogers",1,"R",177579,177579,FALSE
2004,"KY","06","H4KY06072","Ben","Chandler",1,"D",175355,299217,FALSE
2004,"KY","06","H4KY06098","Tom","Buford",0,"R",119716,299217,FALSE
